Unit,Datetime,Open,High,Low,Close,Volume
U1,2025-08-05 00:00:00+00:00,115074.671875,115088.0625,114171.28125,114418.1796875,35236499456
U2,2025-08-05 06:00:00+00:00,114404.28125,115065.7421875,113831.5234375,114819.21875,12936843264
U3,2025-08-05 12:00:00+00:00,114812.5234375,114876.0703125,112720.96875,113592.734375,17647685632
U4,2025-08-05 18:00:00+00:00,113613.890625,114174.71875,113320.390625,114134.421875,16982261760
U5,2025-08-06 00:00:00+00:00,114120.546875,114390.71875,113383.046875,114123.0859375,15930859520
U6,2025-08-06 06:00:00+00:00,114128.328125,114352.8984375,113745.4375,114208.953125,17054031872
U7,2025-08-06 12:00:00+00:00,114217.1640625,115504.3984375,113793.21875,115504.3984375,17086676992
U8,2025-08-06 18:00:00+00:00,115575.8828125,115710.296875,114899.3984375,115009.640625,16130605056
U9,2025-08-07 00:00:00+00:00,114989.9296875,115215.6875,114302.2265625,114555.6640625,16308269056
U10,2025-08-07 06:00:00+00:00,114575.4765625,116797.9140625,114553.6796875,116559.3203125,18163527680
U11,2025-08-07 12:00:00+00:00,116550.71875,116814.0625,115709.796875,116500.390625,19567194112
U12,2025-08-07 18:00:00+00:00,116543.46875,117652.4140625,116212.734375,117498.5859375,20825186304
U13,2025-08-08 00:00:00+00:00,117519.6484375,117650.203125,116580.0,116580.0,18514251776
U14,2025-08-08 06:00:00+00:00,116564.1796875,116995.234375,116411.046875,116929.6640625,16113774592
U15,2025-08-08 12:00:00+00:00,116919.9296875,117239.4453125,115939.8984375,116675.7421875,20284788736
U16,2025-08-08 18:00:00+00:00,116805.390625,117013.2421875,116363.015625,116675.9765625,18059890688
U17,2025-08-09 00:00:00+00:00,116675.4765625,116965.1796875,116378.53125,116763.7265625,13751500800
U18,2025-08-09 06:00:00+00:00,116750.390625,117882.5703125,116562.875,117119.1171875,20509462528
U19,2025-08-09 12:00:00+00:00,117114.3046875,117236.1640625,116670.296875,116693.5078125,14438187008
U20,2025-08-09 18:00:00+00:00,116687.53125,116920.9375,116411.359375,116510.625,13654245376
U21,2025-08-10 00:00:00+00:00,116485.6953125,118749.9609375,116485.6953125,118053.5078125,25310425088
U22,2025-08-10 06:00:00+00:00,118100.9296875,118494.34375,117535.3125,118368.125,20809162752
U23,2025-08-10 12:00:00+00:00,118352.1953125,119064.3828125,118303.828125,118545.0,15684526080
U24,2025-08-10 18:00:00+00:00,118533.53125,119313.0625,118109.78125,119313.0625,20702937088
U25,2025-08-11 00:00:00+00:00,119275.765625,122282.0859375,119024.75,121988.09375,30451609600
U26,2025-08-11 06:00:00+00:00,122030.6875,122321.09375,120330.2109375,120566.5546875,26146824192
U27,2025-08-11 12:00:00+00:00,120580.1640625,120761.953125,119412.0234375,119530.5859375,23153786880
U28,2025-08-11 18:00:00+00:00,119477.9765625,119860.6015625,118244.21875,118727.8359375,17535287296
U29,2025-08-12 00:00:00+00:00,118692.4453125,119282.2421875,118479.1328125,118774.203125,14491893760
U30,2025-08-12 06:00:00+00:00,118862.8984375,119158.25,118233.9140625,118538.09375,20321017856
U31,2025-08-12 12:00:00+00:00,118503.2734375,120191.6953125,118287.1328125,119235.515625,24027824128
U32,2025-08-12 18:00:00+00:00,119301.6171875,120238.5234375,119293.4765625,120142.1171875,18640363520
U33,2025-08-13 00:00:00+00:00,120122.796875,120127.8984375,118952.4375,118998.46875,21991759872
U34,2025-08-13 06:00:00+00:00,119042.0234375,120696.03125,118947.28125,120605.2421875,20341743616
U35,2025-08-13 12:00:00+00:00,120553.5234375,122194.5703125,120141.8671875,121871.4453125,32664436736
U36,2025-08-13 18:00:00+00:00,121804.703125,123617.78125,121484.0546875,123361.953125,27513135104
U37,2025-08-14 00:00:00+00:00,123341.7890625,124322.2890625,122166.375,122177.6328125,26547617792
U38,2025-08-14 06:00:00+00:00,121861.046875,122045.5625,120773.1875,120991.6328125,29998964736
U39,2025-08-14 12:00:00+00:00,120989.5390625,121136.59375,117538.5859375,117913.828125,38769754112
U40,2025-08-14 18:00:00+00:00,117912.0,118606.28125,117415.6328125,118373.78125,20339482624
