Unit,Datetime,Open,High,Low,Close,Volume
U1,2025-07-26 00:00:00+00:00,117625.3828125,117768.7890625,117201.15625,117498.921875,7876534272
U2,2025-07-26 06:00:00+00:00,117495.921875,118219.609375,117357.3203125,117827.984375,8697057280
U3,2025-07-26 12:00:00+00:00,117817.6875,118274.765625,117805.625,118068.5625,8017883136
U4,2025-07-26 18:00:00+00:00,118072.2109375,118324.984375,117929.15625,117946.296875,8409116672
U5,2025-07-27 00:00:00+00:00,117991.4453125,118384.3828125,117872.5,118334.046875,9951830016
U6,2025-07-27 06:00:00+00:00,118329.4765625,118440.515625,117905.5078125,118092.28125,10805813248
U7,2025-07-27 12:00:00+00:00,118120.7734375,119542.9765625,117932.4296875,119217.0546875,17502064640
U8,2025-07-27 18:00:00+00:00,119272.9296875,119792.734375,118766.203125,119455.046875,18477367296
U9,2025-07-28 00:00:00+00:00,119443.953125,119788.84375,119019.2578125,119613.8046875,21283921920
U10,2025-07-28 06:00:00+00:00,119547.6953125,119613.3984375,118534.546875,118807.0546875,22408101888
U11,2025-07-28 12:00:00+00:00,118818.78125,119079.515625,117662.421875,117679.984375,21088075776
U12,2025-07-28 18:00:00+00:00,117665.84375,118318.6328125,117441.4375,117841.21875,19176177664
U13,2025-07-29 00:00:00+00:00,118016.28125,118842.96875,117479.03125,118824.03125,21979566080
U14,2025-07-29 06:00:00+00:00,118788.9296875,119273.8671875,118196.71875,118592.3046875,17706512384
U15,2025-07-29 12:00:00+00:00,118586.515625,119052.2109375,117028.96875,117772.6640625,23980785664
U16,2025-07-29 18:00:00+00:00,117767.265625,117956.8828125,117093.7890625,117909.7421875,16205746176
U17,2025-07-30 00:00:00+00:00,117913.3671875,118251.953125,117443.3046875,117975.390625,18431832064
U18,2025-07-30 06:00:00+00:00,117997.3671875,118471.2421875,117474.1484375,117551.515625,18388684800
U19,2025-07-30 12:00:00+00:00,117584.125,118745.9609375,117419.4609375,117803.625,20490555392
U20,2025-07-30 18:00:00+00:00,117955.4921875,117955.4921875,115869.3359375,117826.8203125,23652159488
U21,2025-07-31 00:00:00+00:00,117838.7109375,118607.46875,117818.5859375,118359.2734375,18158788608
U22,2025-07-31 06:00:00+00:00,118353.1875,118902.1640625,118285.5390625,118342.421875,15749005312
U23,2025-07-31 12:00:00+00:00,118351.15625,118859.421875,117776.9609375,117776.9609375,24640778240
U24,2025-07-31 18:00:00+00:00,117752.859375,117980.390625,115604.3671875,115757.0,39749210112
U25,2025-08-01 00:00:00+00:00,115722.0078125,116052.7265625,114449.7890625,115575.5546875,29834711040
U26,2025-08-01 06:00:00+00:00,115570.6328125,115608.7265625,114166.6328125,115232.7109375,26133790720
U27,2025-08-01 12:00:00+00:00,115270.125,115938.75,114175.7109375,114362.3828125,46910345216
U28,2025-08-01 18:00:00+00:00,114429.2109375,114429.2109375,112730.125,113333.0078125,20658544640
U29,2025-08-02 00:00:00+00:00,113251.890625,114013.09375,113193.9296875,113942.6171875,16559407104
U30,2025-08-02 06:00:00+00:00,113942.3515625,113989.6484375,113414.265625,113745.296875,17977720832
U31,2025-08-02 12:00:00+00:00,113753.140625,113753.140625,112573.8671875,112677.6015625,16879390720
U32,2025-08-02 18:00:00+00:00,112696.6484375,113013.3515625,112014.5546875,112513.46875,18066059264
U33,2025-08-03 00:00:00+00:00,112526.40625,113709.40625,111965.9921875,113602.09375,15694086144
U34,2025-08-03 06:00:00+00:00,113608.78125,114237.65625,113462.859375,113885.9375,12492742656
U35,2025-08-03 12:00:00+00:00,113864.9609375,114176.9375,113615.8828125,114113.203125,14633082880
U36,2025-08-03 18:00:00+00:00,114106.2109375,114724.6171875,114079.8515625,114218.2421875,11799482368
U37,2025-08-04 00:00:00+00:00,114217.4765625,114984.203125,114143.5390625,114388.0859375,17104666624
U38,2025-08-04 06:00:00+00:00,114406.125,114790.765625,114174.5859375,114483.3046875,16035909632
U39,2025-08-04 12:00:00+00:00,114497.171875,115711.4140625,114208.71875,115197.7890625,14636171264
U40,2025-08-04 18:00:00+00:00,115267.8515625,115350.3125,114637.7890625,115096.875,18732171264
